county,gics_sector,sme_label,spend_share_pct,annual_spend_eur_m,tailwinds,headwinds,source_note,source_url,source_date,approved_by
Dublin,Consumer Discretionary,,,,,,,,,
Dublin,Consumer Staples,,,,,,,,,
Dublin,Health Care,,,,,,,,,
Dublin,Industrials,,,,,,,,,
Dublin,Information Technology,,,,,,,,,
Dublin,Financials,,,,,,,,,
